NB_BENEFICIAIRES,ANNEE,CANTON
3838,2010,Canton Villenave d'Ornon
1674,2010,Canton Pujols
1096,2010,Canton Grignols
1429,2010,Canton Monségur
5815,2010,Canton Carbon Blanc
4452,2010,Canton Langon
1968,2010,Canton Branne
1249,2010,Canton Villandraut
5253,2010,Canton Cenon
1846,2010,Canton St Laurent du Médoc
6009,2010,Canton Coutras
1119,2010,Canton Captieux
3243,2010,Canton Bordeaux 6
1972,2010,Canton Bordeaux 7
5596,2010,Canton Bordeaux 8
2854,2010,Canton Castillon la Bataille
3496,2010,Canton Bordeaux 1
3756,2010,Canton Bordeaux 2
2585,2010,Canton Bordeaux 3
2389,2010,Canton Bordeaux 4
1537,2010,Canton Bordeaux 5
5967,2010,Canton St Médard en Jalles
2205,2010,Canton Cadillac
4127,2010,Canton Guîtres
2972,2010,Canton St Ciers sur Gironde
3199,2010,Canton Bègles
6130,2010,Canton Blanquefort
5557,2010,Canton Créon
1553,2010,Canton Targon
4295,2010,Canton Lesparre Médoc
1803,2010,Canton St Macaire
4208,2010,Canton Arcachon
1968,2010,Canton Lussac
1292,2010,Canton St Symphorien
2678,2010,Canton Belin-Beliet
2557,2010,Canton Fronsac
6948,2010,Canton Lormont
5040,2010,Canton Castelnau du Médoc
7966,2010,Canton Libourne
2171,2010,Canton Blaye
3594,2010,Canton La Réole
11060,2010,Canton Audenge
665,2010,Canton Pellegrue
2488,2010,Canton Bazas
3169,2010,Canton Floirac
3160,2010,Canton St Savin
3837,2010,Canton Talence
8202,2010,Canton La Teste de Buch
4885,2010,Canton Mérignac 2
5747,2010,Canton Le Bouscat
5819,2010,Canton Mérignac 1
3739,2010,Canton Gradignan
2498,2010,Canton Bourg sur Gironde
2824,2010,Canton St Vivien du Médoc
3077,2010,Canton La Brède
2699,2010,Canton Pauillac
2676,2010,Canton Pessac 2
3118,2010,Canton Pessac 1
1553,2010,Canton Auros
2146,2010,Canton St André de Cubzac
2745,2010,Canton Podensac
3209,2010,Canton Ste Foy la Grande
1866,2010,Canton Sauveterre de Guyenne
1410,2011,Canton Monségur
5900,2011,Canton Carbon Blanc
3344,2011,Canton Bègles
2976,2011,Canton Castillon la Bataille
4601,2011,Canton Langon
9156,2011,Canton La Teste de Buch
1263,2011,Canton Villandraut
3864,2011,Canton Villenave d'Ornon
2049,2011,Canton Branne
6166,2011,Canton Coutras
1886,2011,Canton St Laurent du Médoc
1033,2011,Canton Captieux
3549,2011,Canton Bordeaux 6
1495,2011,Canton Bordeaux 5
3016,2011,Canton Belin-Beliet
2321,2011,Canton Bordeaux 4
2526,2011,Canton Bordeaux 3
4084,2011,Canton Bordeaux 2
3593,2011,Canton Bordeaux 1
5889,2011,Canton Bordeaux 8
2134,2011,Canton Bordeaux 7
5727,2011,Canton Créon
4645,2011,Canton Lesparre Médoc
5320,2011,Canton Cenon
2319,2011,Canton Blaye
1815,2011,Canton St Macaire
6430,2011,Canton St Médard en Jalles
2716,2011,Canton Fronsac
2916,2011,Canton St Ciers sur Gironde
6859,2011,Canton Lormont
1554,2011,Canton Targon
6612,2011,Canton Blanquefort
1876,2011,Canton Pujols
2477,2011,Canton Cadillac
3121,2011,Canton Ste Foy la Grande
7960,2011,Canton Libourne
1430,2011,Canton St Symphorien
2763,2011,Canton Pessac 2
3142,2011,Canton Pessac 1
3679,2011,Canton La Réole
4419,2011,Canton Arcachon
1585,2011,Canton Auros
2197,2011,Canton Lussac
3224,2011,Canton St Vivien du Médoc
720,2011,Canton Pellegrue
12618,2011,Canton Audenge
3943,2011,Canton Gradignan
2409,2011,Canton Bazas
4213,2011,Canton Guîtres
4033,2011,Canton Talence
6139,2011,Canton Le Bouscat
2286,2011,Canton St André de Cubzac
2823,2011,Canton Pauillac
3220,2011,Canton Floirac
3457,2011,Canton St Savin
6338,2011,Canton Mérignac 1
5155,2011,Canton Mérignac 2
2815,2011,Canton Podensac
2522,2011,Canton Bourg sur Gironde
3260,2011,Canton La Brède
1878,2011,Canton Sauveterre de Guyenne
5267,2011,Canton Castelnau du Médoc
1181,2011,Canton Grignols
1243,2012,Canton Villandraut
2073,2012,Canton St Laurent du Médoc
1852,2012,Canton Sauveterre de Guyenne
3931,2012,Canton Villenave d'Ornon
3465,2012,Canton Bègles
4889,2012,Canton Langon
9844,2012,Canton La Teste de Buch
2191,2012,Canton Branne
5315,2012,Canton Cenon
2514,2012,Canton Blaye
2511,2012,Canton Bazas
1938,2012,Canton St Macaire
1564,2012,Canton Bordeaux 5
2986,2012,Canton Belin-Beliet
2420,2012,Canton Bordeaux 4
2034,2012,Canton Bordeaux 7
3578,2012,Canton Bordeaux 6
3539,2012,Canton Bordeaux 1
2470,2012,Canton Bordeaux 3
4120,2012,Canton Bordeaux 2
2949,2012,Canton Castillon la Bataille
5867,2012,Canton Bordeaux 8
4843,2012,Canton Lesparre Médoc
2004,2012,Canton Pujols
6862,2012,Canton Lormont
2629,2012,Canton Cadillac
6723,2012,Canton St Médard en Jalles
7775,2012,Canton Libourne
3001,2012,Canton St Ciers sur Gironde
1442,2012,Canton Monségur
1591,2012,Canton Targon
5863,2012,Canton Carbon Blanc
5779,2012,Canton Créon
6931,2012,Canton Blanquefort
3122,2012,Canton Pessac 1
2770,2012,Canton Pessac 2
3576,2012,Canton La Réole
4567,2012,Canton Arcachon
2380,2012,Canton Lussac
1551,2012,Canton Auros
2919,2012,Canton Ste Foy la Grande
1470,2012,Canton St Symphorien
4128,2012,Canton Guîtres
4296,2012,Canton Talence
12808,2012,Canton Audenge
2709,2012,Canton Fronsac
6358,2012,Canton Le Bouscat
4055,2012,Canton Gradignan
3286,2012,Canton St Vivien du Médoc
793,2012,Canton Pellegrue
2880,2012,Canton Podensac
1063,2012,Canton Captieux
2283,2012,Canton St André de Cubzac
2994,2012,Canton Floirac
6347,2012,Canton Mérignac 1
3359,2012,Canton St Savin
1368,2012,Canton Grignols
5378,2012,Canton Castelnau du Médoc
5415,2012,Canton Mérignac 2
6442,2012,Canton Coutras
2617,2012,Canton Bourg sur Gironde
3618,2012,Canton La Brède
2947,2012,Canton Pauillac
3197,2013,Canton St Ciers sur Gironde
3370,2013,Canton Bègles
6782,2013,Canton Blanquefort
2553,2013,Canton Bourg sur Gironde
1408,2013,Canton Targon
10226,2013,Canton La Teste de Buch
1207,2013,Canton Villandraut
6644,2013,Canton Lormont
2208,2013,Canton St Laurent du Médoc
3757,2013,Canton La Brède
2227,2013,Canton St André de Cubzac
1875,2013,Canton St Macaire
1829,2013,Canton Sauveterre de Guyenne
2820,2013,Canton Castillon la Bataille
3702,2013,Canton Villenave d'Ornon
2069,2013,Canton Branne
1806,2013,Canton Pujols
2453,2013,Canton Bazas
2422,2013,Canton Bordeaux 4
2332,2013,Canton Bordeaux 3
7323,2013,Canton Libourne
3941,2013,Canton Bordeaux 2
3358,2013,Canton Bordeaux 1
5507,2013,Canton Bordeaux 8
2040,2013,Canton Bordeaux 7
3416,2013,Canton Bordeaux 6
1603,2013,Canton Bordeaux 5
1342,2013,Canton Monségur
5023,2013,Canton Lesparre Médoc
5918,2013,Canton Carbon Blanc
5514,2013,Canton Créon
5268,2013,Canton Cenon
3369,2013,Canton La Réole
2517,2013,Canton Blaye
6459,2013,Canton St Médard en Jalles
3067,2013,Canton St Vivien du Médoc
4450,2013,Canton Gradignan
4016,2013,Canton Guîtres
2609,2013,Canton Cadillac
4237,2013,Canton Talence
12884,2013,Canton Audenge
6319,2013,Canton Le Bouscat
2813,2013,Canton Ste Foy la Grande
1438,2013,Canton St Symphorien
3093,2013,Canton Belin-Beliet
2840,2013,Canton Pessac 2
2900,2013,Canton Pessac 1
4479,2013,Canton Arcachon
2727,2013,Canton Fronsac
1472,2013,Canton Auros
2463,2013,Canton Lussac
741,2013,Canton Pellegrue
967,2013,Canton Captieux
3044,2013,Canton Podensac
4746,2013,Canton Langon
5603,2013,Canton Castelnau du Médoc
1365,2013,Canton Grignols
6024,2013,Canton Coutras
3060,2013,Canton Floirac
2861,2013,Canton Pauillac
5269,2013,Canton Mérignac 2
6154,2013,Canton Mérignac 1
3190,2013,Canton St Savin
