NB_PRESTATION,ANNEE,CANTON
239,2010,Canton Arcachon
677,2010,Canton Audenge
78,2010,Canton Auros
187,2010,Canton Bazas
135,2010,Canton Belin-Beliet
973,2010,Canton Blanquefort
432,2010,Canton Blaye
1700,2010,Canton Bordeaux 1
1269,2010,Canton Bordeaux 2
1103,2010,Canton Bordeaux 3
1260,2010,Canton Bordeaux 4
1411,2010,Canton Bordeaux 5
1892,2010,Canton Bordeaux 6
735,2010,Canton Bordeaux 7
561,2010,Canton Bordeaux 8
270,2010,Canton Bourg sur Gironde
183,2010,Canton Branne
616,2010,Canton Bègles
271,2010,Canton Cadillac
47,2010,Canton Captieux
802,2010,Canton Carbon Blanc
471,2010,Canton Castelnau du Médoc
335,2010,Canton Castillon la Bataille
1174,2010,Canton Cenon
832,2010,Canton Coutras
397,2010,Canton Créon
622,2010,Canton Floirac
181,2010,Canton Fronsac
477,2010,Canton Gradignan
57,2010,Canton Grignols
478,2010,Canton Guîtres
318,2010,Canton La Brède
450,2010,Canton La Réole
775,2010,Canton La Teste de Buch
673,2010,Canton Langon
500,2010,Canton Le Bouscat
535,2010,Canton Lesparre Médoc
1149,2010,Canton Libourne
1274,2010,Canton Lormont
141,2010,Canton Lussac
72,2010,Canton Monségur
696,2010,Canton Mérignac 1
554,2010,Canton Mérignac 2
293,2010,Canton Pauillac
53,2010,Canton Pellegrue
635,2010,Canton Pessac 1
530,2010,Canton Pessac 2
286,2010,Canton Podensac
134,2010,Canton Pujols
96,2010,Canton Sauveterre de Guyenne
371,2010,Canton St André de Cubzac
356,2010,Canton St Ciers sur Gironde
164,2010,Canton St Laurent du Médoc
222,2010,Canton St Macaire
501,2010,Canton St Médard en Jalles
549,2010,Canton St Savin
96,2010,Canton St Symphorien
219,2010,Canton St Vivien du Médoc
466,2010,Canton Ste Foy la Grande
1907,2010,Canton Talence
94,2010,Canton Targon
98,2010,Canton Villandraut
458,2010,Canton Villenave d'Ornon
245,2011,Canton Arcachon
720,2011,Canton Audenge
85,2011,Canton Auros
250,2011,Canton Bazas
165,2011,Canton Belin-Beliet
1047,2011,Canton Blanquefort
440,2011,Canton Blaye
1712,2011,Canton Bordeaux 1
1278,2011,Canton Bordeaux 2
1123,2011,Canton Bordeaux 3
1302,2011,Canton Bordeaux 4
1465,2011,Canton Bordeaux 5
2057,2011,Canton Bordeaux 6
781,2011,Canton Bordeaux 7
559,2011,Canton Bordeaux 8
284,2011,Canton Bourg sur Gironde
179,2011,Canton Branne
638,2011,Canton Bègles
303,2011,Canton Cadillac
37,2011,Canton Captieux
865,2011,Canton Carbon Blanc
464,2011,Canton Castelnau du Médoc
371,2011,Canton Castillon la Bataille
1281,2011,Canton Cenon
826,2011,Canton Coutras
447,2011,Canton Créon
690,2011,Canton Floirac
183,2011,Canton Fronsac
541,2011,Canton Gradignan
76,2011,Canton Grignols
510,2011,Canton Guîtres
290,2011,Canton La Brède
449,2011,Canton La Réole
819,2011,Canton La Teste de Buch
717,2011,Canton Langon
590,2011,Canton Le Bouscat
555,2011,Canton Lesparre Médoc
1177,2011,Canton Libourne
1348,2011,Canton Lormont
122,2011,Canton Lussac
77,2011,Canton Monségur
731,2011,Canton Mérignac 1
604,2011,Canton Mérignac 2
287,2011,Canton Pauillac
60,2011,Canton Pellegrue
611,2011,Canton Pessac 1
510,2011,Canton Pessac 2
298,2011,Canton Podensac
145,2011,Canton Pujols
107,2011,Canton Sauveterre de Guyenne
398,2011,Canton St André de Cubzac
355,2011,Canton St Ciers sur Gironde
166,2011,Canton St Laurent du Médoc
204,2011,Canton St Macaire
530,2011,Canton St Médard en Jalles
573,2011,Canton St Savin
107,2011,Canton St Symphorien
251,2011,Canton St Vivien du Médoc
473,2011,Canton Ste Foy la Grande
1944,2011,Canton Talence
108,2011,Canton Targon
99,2011,Canton Villandraut
487,2011,Canton Villenave d'Ornon
238,2012,Canton Arcachon
758,2012,Canton Audenge
70,2012,Canton Auros
242,2012,Canton Bazas
175,2012,Canton Belin-Beliet
1096,2012,Canton Blanquefort
447,2012,Canton Blaye
1773,2012,Canton Bordeaux 1
1322,2012,Canton Bordeaux 2
1118,2012,Canton Bordeaux 3
1364,2012,Canton Bordeaux 4
1544,2012,Canton Bordeaux 5
2030,2012,Canton Bordeaux 6
826,2012,Canton Bordeaux 7
593,2012,Canton Bordeaux 8
310,2012,Canton Bourg sur Gironde
192,2012,Canton Branne
608,2012,Canton Bègles
286,2012,Canton Cadillac
36,2012,Canton Captieux
889,2012,Canton Carbon Blanc
491,2012,Canton Castelnau du Médoc
347,2012,Canton Castillon la Bataille
1314,2012,Canton Cenon
844,2012,Canton Coutras
453,2012,Canton Créon
698,2012,Canton Floirac
205,2012,Canton Fronsac
605,2012,Canton Gradignan
76,2012,Canton Grignols
509,2012,Canton Guîtres
324,2012,Canton La Brède
462,2012,Canton La Réole
856,2012,Canton La Teste de Buch
696,2012,Canton Langon
627,2012,Canton Le Bouscat
567,2012,Canton Lesparre Médoc
1241,2012,Canton Libourne
1473,2012,Canton Lormont
129,2012,Canton Lussac
93,2012,Canton Monségur
764,2012,Canton Mérignac 1
612,2012,Canton Mérignac 2
307,2012,Canton Pauillac
62,2012,Canton Pellegrue
651,2012,Canton Pessac 1
551,2012,Canton Pessac 2
333,2012,Canton Podensac
146,2012,Canton Pujols
123,2012,Canton Sauveterre de Guyenne
408,2012,Canton St André de Cubzac
366,2012,Canton St Ciers sur Gironde
177,2012,Canton St Laurent du Médoc
200,2012,Canton St Macaire
586,2012,Canton St Médard en Jalles
566,2012,Canton St Savin
99,2012,Canton St Symphorien
250,2012,Canton St Vivien du Médoc
485,2012,Canton Ste Foy la Grande
1929,2012,Canton Talence
98,2012,Canton Targon
108,2012,Canton Villandraut
487,2012,Canton Villenave d'Ornon
