CODE,LB_DEPARTEMENTS,CLASSEMENT_MOYEN_VI
1,Ain,0,0152505447
2,Aisne,0,0047003525
3,Allier,0
4,Alpes Haute Provence,0,0176211454
5,Hautes Alpes ,0
6,Alpes Maritimes,0,1648351648
7,Ardèches,0,2433862434
8,Ardennes ,0,0226337449
9,Ariège,0,0111731844
10,Aube,0,0086206897
11,Aude ,0,0274841438
12,Aveyron ,0
13,Bouches du Rhône,0,125
14,Calvados,0,0160213618
15,Cantal,0,0070921986
16,Charente,0,0114942529
17,Charente Maritime ,0,0138613861
18,Cher,0,0092592593
19,Corrèze,0,0157232704
2A,Corse du Sud,0,0303030303
2B,Haute Corse,0,0119521912
21,Côtes d'Armor,0,0040431267
22,Côtes d'or,0,0311004785
23,Creuse,0,0105263158
24,Dordogne,0,0032414911
25,Doubs,0,0157977883
26,Drôme,0,0275
27,Eure,0,0168067227
28,Eure-et-Loire,0,0091116173
29,Finistère,0,1150159744
30,Gard,0,0204081633
31,Haute Garonne,0,0464
32,Gers,0
33,Gironde,0,0884808013
34,Hérault,0,0481283422
35,Ille et Vilaine,0,0412371134
36,Indre ,0,0073529412
37,Indre et Loire,0,0427631579
38,Isère,0,0735551664
39,Jura,0,0034482759
40,Landes,0,0694444444
41,Loir et Cher,0,0250783699
42,Loire,0,0397727273
43,Haute Loire,0,0245614035
44,Loire Atlantique,0,1129032258
45,Loiret,0,0357142857
46,Lot,0,0054347826
47,Lot et Garonne,0,0343839542
48,Lozère,0
49,Maine et Loire,0,0275
50,Manche,0,0091743119
51,Marne,0,0131386861
52,Haute Marne,0,0108225108
53,Mayenne,0,0569395018
54,Meurthe et Moselle,0,0992125984
55,Meuse,0,009380863
56,Morbihan,0,1796610169
57,Moselle,0,0505836576
58,Nièvre,0,0202898551
59,Nord,0,1923076923
60,Oise,0,020661157
61,Orne,0,0163339383
62,Pas de Calais,0,0654008439
63,Puy de Dôme,0,0231213873
64,Pyrénées Atlantiques,0,0255972696
65,Hautes Pyrénées,0,0154738878
66,Pyrénées Orientales,0,0285714286
67,Bas Rhin,0,0346020761
68,Haut Rhin,0,0509708738
69,Rhône,0,1159874608
70,Haute Saone,0,0068965517
71,Saone et Loire,0,0240770465
72,Sarthe,0,0168674699
73,Savoie,0,0326409496
74,Haute Savoie,0,10625
75,Paris,1
76,Seine Maritime,0,0583016477
77,Seine et Marne,0,0538599641
78,Yvelines,0,1660649819
79,Deux Sèvres,0,0327380952
80,Somme,0,0024420024
81,Tarn,0,0168067227
82,Tarn et Garonne,0,0046511628
83,Var,0,2280701754
84,Vaucluse,0,0117647059
85,Vendée,0,0191693291
86,Vienne,0,0192307692
87,Haute Vienne,0,0305676856
88,Vosges,0,0212765957
89,Yonne,0,006122449
90,Territoire de Belfort,0
91,Essonne,0,2361111111
92,Hauts de Seine,1,1860465116
93,Seine St Denis,1,1304347826
94,Val de Marne,1,2222222222
95,Val d'Oise,0,2058823529
F,Moyenne Dép France Métro,0,0897171785
,,
Min,valeur min,0,0000
Max,valeur max,1,2222
